[INFO:2023-05-03 08:58:52,059] **FILLING BUFFER** | Episode: 131 | Timesteps Played: 193 | Mean Loss: 0.000 | Mean Reward: 0.570
[INFO:2023-05-03 08:58:52,243] **FILLING BUFFER** | Episode: 132 | Timesteps Played: 125 | Mean Loss: 0.000 | Mean Reward: 0.320
[INFO:2023-05-03 08:58:52,425] **FILLING BUFFER** | Episode: 133 | Timesteps Played: 141 | Mean Loss: 0.000 | Mean Reward: 0.709
[INFO:2023-05-03 08:58:52,644] **FILLING BUFFER** | Episode: 134 | Timesteps Played: 177 | Mean Loss: 0.000 | Mean Reward: 0.678
[INFO:2023-05-03 08:58:52,876] **FILLING BUFFER** | Episode: 135 | Timesteps Played: 173 | Mean Loss: 0.000 | Mean Reward: 0.347
[INFO:2023-05-03 08:58:53,106] **FILLING BUFFER** | Episode: 136 | Timesteps Played: 187 | Mean Loss: 0.000 | Mean Reward: 0.374
[INFO:2023-05-03 08:58:53,349] **FILLING BUFFER** | Episode: 137 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.366
[INFO:2023-05-03 08:58:53,565] **FILLING BUFFER** | Episode: 138 | Timesteps Played: 185 | Mean Loss: 0.000 | Mean Reward: 0.649
[INFO:2023-05-03 08:58:53,802] **FILLING BUFFER** | Episode: 139 | Timesteps Played: 175 | Mean Loss: 0.000 | Mean Reward: 0.514
[INFO:2023-05-03 08:58:54,015] **FILLING BUFFER** | Episode: 140 | Timesteps Played: 179 | Mean Loss: 0.000 | Mean Reward: 0.838
[INFO:2023-05-03 08:58:54,234] **FILLING BUFFER** | Episode: 141 | Timesteps Played: 179 | Mean Loss: 0.000 | Mean Reward: 0.894
[INFO:2023-05-03 08:58:54,463] **FILLING BUFFER** | Episode: 142 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.524
[INFO:2023-05-03 08:58:54,680] **FILLING BUFFER** | Episode: 143 | Timesteps Played: 179 | Mean Loss: 0.000 | Mean Reward: 0.615
[INFO:2023-05-03 08:58:54,897] **FILLING BUFFER** | Episode: 144 | Timesteps Played: 173 | Mean Loss: 0.000 | Mean Reward: 0.636
[INFO:2023-05-03 08:58:55,118] **FILLING BUFFER** | Episode: 145 | Timesteps Played: 187 | Mean Loss: 0.000 | Mean Reward: 0.428
[INFO:2023-05-03 08:58:55,346] **FILLING BUFFER** | Episode: 146 | Timesteps Played: 185 | Mean Loss: 0.000 | Mean Reward: 0.595
[INFO:2023-05-03 08:58:55,560] **FILLING BUFFER** | Episode: 147 | Timesteps Played: 183 | Mean Loss: 0.000 | Mean Reward: 0.656
[INFO:2023-05-03 08:58:55,768] **FILLING BUFFER** | Episode: 148 | Timesteps Played: 159 | Mean Loss: 0.000 | Mean Reward: 0.377
[INFO:2023-05-03 08:58:56,017] **FILLING BUFFER** | Episode: 149 | Timesteps Played: 205 | Mean Loss: 0.000 | Mean Reward: 0.878
[INFO:2023-05-03 08:58:56,233] **FILLING BUFFER** | Episode: 150 | Timesteps Played: 169 | Mean Loss: 0.000 | Mean Reward: 0.651
[INFO:2023-05-03 08:58:56,460] **FILLING BUFFER** | Episode: 151 | Timesteps Played: 167 | Mean Loss: 0.000 | Mean Reward: 0.719
[INFO:2023-05-03 08:58:56,708] **FILLING BUFFER** | Episode: 152 | Timesteps Played: 205 | Mean Loss: 0.000 | Mean Reward: 0.634
[INFO:2023-05-03 08:58:56,915] **FILLING BUFFER** | Episode: 153 | Timesteps Played: 173 | Mean Loss: 0.000 | Mean Reward: 0.578
[INFO:2023-05-03 08:58:57,135] **FILLING BUFFER** | Episode: 154 | Timesteps Played: 173 | Mean Loss: 0.000 | Mean Reward: 0.520
[INFO:2023-05-03 08:58:57,355] **FILLING BUFFER** | Episode: 155 | Timesteps Played: 183 | Mean Loss: 0.000 | Mean Reward: 0.601
[INFO:2023-05-03 08:58:57,591] **FILLING BUFFER** | Episode: 156 | Timesteps Played: 195 | Mean Loss: 0.000 | Mean Reward: 0.769
[INFO:2023-05-03 08:58:57,814] **FILLING BUFFER** | Episode: 157 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.733
[INFO:2023-05-03 08:58:58,158] **FILLING BUFFER** | Episode: 158 | Timesteps Played: 287 | Mean Loss: 0.000 | Mean Reward: 0.697
[INFO:2023-05-03 08:58:58,384] **FILLING BUFFER** | Episode: 159 | Timesteps Played: 183 | Mean Loss: 0.000 | Mean Reward: 0.601
[INFO:2023-05-03 08:58:58,659] **FILLING BUFFER** | Episode: 160 | Timesteps Played: 201 | Mean Loss: 0.000 | Mean Reward: 0.498
[INFO:2023-05-03 08:58:58,900] **FILLING BUFFER** | Episode: 161 | Timesteps Played: 201 | Mean Loss: 0.000 | Mean Reward: 0.647
[INFO:2023-05-03 08:58:59,158] **FILLING BUFFER** | Episode: 162 | Timesteps Played: 199 | Mean Loss: 0.000 | Mean Reward: 0.854
[INFO:2023-05-03 08:58:59,385] **FILLING BUFFER** | Episode: 163 | Timesteps Played: 177 | Mean Loss: 0.000 | Mean Reward: 0.395
[INFO:2023-05-03 08:58:59,627] **FILLING BUFFER** | Episode: 164 | Timesteps Played: 195 | Mean Loss: 0.000 | Mean Reward: 0.615
[INFO:2023-05-03 08:58:59,863] **FILLING BUFFER** | Episode: 165 | Timesteps Played: 193 | Mean Loss: 0.000 | Mean Reward: 0.415
[INFO:2023-05-03 08:59:00,100] **FILLING BUFFER** | Episode: 166 | Timesteps Played: 183 | Mean Loss: 0.000 | Mean Reward: 0.546
[INFO:2023-05-03 08:59:00,348] **FILLING BUFFER** | Episode: 167 | Timesteps Played: 193 | Mean Loss: 0.000 | Mean Reward: 0.518
[INFO:2023-05-03 08:59:00,558] **FILLING BUFFER** | Episode: 168 | Timesteps Played: 165 | Mean Loss: 0.000 | Mean Reward: 0.545
[INFO:2023-05-03 08:59:00,797] **FILLING BUFFER** | Episode: 169 | Timesteps Played: 199 | Mean Loss: 0.000 | Mean Reward: 0.653
[INFO:2023-05-03 08:59:01,020] **FILLING BUFFER** | Episode: 170 | Timesteps Played: 171 | Mean Loss: 0.000 | Mean Reward: 0.292
[INFO:2023-05-03 08:59:01,262] **FILLING BUFFER** | Episode: 171 | Timesteps Played: 195 | Mean Loss: 0.000 | Mean Reward: 0.462
[INFO:2023-05-03 08:59:01,507] **FILLING BUFFER** | Episode: 172 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.576
[INFO:2023-05-03 08:59:01,747] **FILLING BUFFER** | Episode: 173 | Timesteps Played: 173 | Mean Loss: 0.000 | Mean Reward: 0.347
[INFO:2023-05-03 08:59:01,997] **FILLING BUFFER** | Episode: 174 | Timesteps Played: 187 | Mean Loss: 0.000 | Mean Reward: 0.428
[INFO:2023-05-03 08:59:02,247] **FILLING BUFFER** | Episode: 175 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.890
[INFO:2023-05-03 08:59:02,505] **FILLING BUFFER** | Episode: 176 | Timesteps Played: 179 | Mean Loss: 0.000 | Mean Reward: 0.503
[INFO:2023-05-03 08:59:02,761] **FILLING BUFFER** | Episode: 177 | Timesteps Played: 183 | Mean Loss: 0.000 | Mean Reward: 0.710
[INFO:2023-05-03 08:59:03,042] **FILLING BUFFER** | Episode: 178 | Timesteps Played: 207 | Mean Loss: 0.000 | Mean Reward: 0.580
[INFO:2023-05-03 08:59:03,347] **FILLING BUFFER** | Episode: 179 | Timesteps Played: 233 | Mean Loss: 0.000 | Mean Reward: 0.901
[INFO:2023-05-03 08:59:03,618] **FILLING BUFFER** | Episode: 180 | Timesteps Played: 197 | Mean Loss: 0.000 | Mean Reward: 0.660
[INFO:2023-05-03 08:59:03,864] **FILLING BUFFER** | Episode: 181 | Timesteps Played: 189 | Mean Loss: 0.000 | Mean Reward: 0.741
